Station,Time,Lat,Lon,Max Gust (mph),x,y
HARP,2023-02-17 21:00:00+00:00,42.4728,-74.69849,23,-8315397.869826439,5232067.823080212
HARR,2023-02-17 21:00:00+00:00,43.80352,-75.68853,16,-8425608.618491411,5435086.625830895
HART,2023-02-17 20:00:00+00:00,42.211221,-77.689733,21,-8648381.517425383,5192672.025720679
HART,2023-02-17 21:00:00+00:00,42.211221,-77.689733,28,-8648381.517425383,5192672.025720679
HERK,2023-02-17 20:00:00+00:00,43.03662,-75.00957,23,-8350027.137022409,5317547.446442995
HERK,2023-02-17 21:00:00+00:00,43.03662,-75.00957,34,-8350027.137022409,5317547.446442995
HFAL,2023-02-17 21:00:00+00:00,41.7988,-74.12312,15,-8251347.974408712,5130888.145245779
ILAK,2023-02-17 20:00:00+00:00,43.79067,-74.23933,16,-8264284.4124337975,5433104.82375294
ILAK,2023-02-17 21:00:00+00:00,43.79067,-74.23933,19,-8264284.4124337975,5433104.82375294
JOHN,2023-02-17 20:00:00+00:00,42.984283,-74.301767,21,-8271234.867480458,5309579.865176751
JOHN,2023-02-17 21:00:00+00:00,42.984283,-74.301767,26,-8271234.867480458,5309579.865176751
JORD,2023-02-17 20:00:00+00:00,43.0698,-76.47006,18,-8512608.140131079,5322602.160612121
JORD,2023-02-17 21:00:00+00:00,43.0698,-76.47006,18,-8512608.140131079,5322602.160612121
KIND,2023-02-17 20:00:00+00:00,42.41001,-73.71557,26,-8205979.715935913,5222596.202251171
KIND,2023-02-17 21:00:00+00:00,42.41001,-73.71557,33,-8205979.715935913,5222596.202251171
LAUR,2023-02-17 20:00:00+00:00,42.52526,-75.1369,21,-8364201.447785117,5239988.493023354
LAUR,2023-02-17 21:00:00+00:00,42.52526,-75.1369,27,-8364201.447785117,5239988.493023354
MANH,2023-02-17 20:00:00+00:00,40.767544,-73.964482,26,-8233688.473028249,4978114.683589724
MANH,2023-02-17 21:00:00+00:00,40.767544,-73.964482,35,-8233688.473028249,4978114.683589724
MEDI,2023-02-17 20:00:00+00:00,43.22668,-78.30927,16,-8717348.060792975,5346538.748073284
MEDI,2023-02-17 21:00:00+00:00,43.22668,-78.30927,17,-8717348.060792975,5346538.748073284
MEDU,2023-02-17 20:00:00+00:00,42.46869,-74.16541,21,-8256055.675674359,5231447.555535527
MEDU,2023-02-17 21:00:00+00:00,42.46869,-74.16541,28,-8256055.675674359,5231447.555535527
MORR,2023-02-17 20:00:00+00:00,42.883917,-75.642447,17,-8420478.682397185,5294319.48869927
MORR,2023-02-17 21:00:00+00:00,42.883917,-75.642447,27,-8420478.682397185,5294319.48869927
NBRA,2023-02-17 20:00:00+00:00,41.82792,-74.99689,23,-8348615.60587915,5135237.446521465
NBRA,2023-02-17 21:00:00+00:00,41.82792,-74.99689,32,-8348615.60587915,5135237.446521465
NEWC,2023-02-17 21:00:00+00:00,43.97329,-74.22273,10,-8262436.50888663,5461309.679278414
NHUD,2023-02-17 21:00:00+00:00,44.0131,-73.70516,14,-8204820.880036755,5467469.66234576
OLDF,2023-02-17 20:00:00+00:00,43.74157,-74.97786,10,-8346497.195969355,5425536.256549262
OLDF,2023-02-17 21:00:00+00:00,43.74157,-74.97786,12,-8346497.195969355,5425536.256549262
OLEA,2023-02-17 20:00:00+00:00,42.09141,-78.40743,18,-8728275.182009242,5174682.068883236
OLEA,2023-02-17 21:00:00+00:00,42.09141,-78.40743,17,-8728275.182009242,5174682.068883236
ONTA,2023-02-17 20:00:00+00:00,43.25941,-77.37331,18,-8613157.470190102,5351540.417889451
ONTA,2023-02-17 21:00:00+00:00,43.25941,-77.37331,21,-8613157.470190102,5351540.417889451
OPPE,2023-02-17 20:00:00+00:00,43.0626,-74.665437,19,-8311718.426697248,5321505.064411509
OPPE,2023-02-17 21:00:00+00:00,43.0626,-74.665437,22,-8311718.426697248,5321505.064411509
OSCE,2023-02-17 20:00:00+00:00,43.49915,-75.71175,15,-8428193.45706763,5388258.82858954
OSCE,2023-02-17 21:00:00+00:00,43.49915,-75.71175,17,-8428193.45706763,5388258.82858954
OSWE,2023-02-17 20:00:00+00:00,43.443183,-76.553233,16,-8521866.916138828,5379673.957369561
OSWE,2023-02-17 21:00:00+00:00,43.443183,-76.553233,16,-8521866.916138828,5379673.957369561
OTIS,2023-02-17 20:00:00+00:00,41.48249,-74.50368,24,-8293711.7198250005,5083771.438240463
OTIS,2023-02-17 21:00:00+00:00,41.48249,-74.50368,30,-8293711.7198250005,5083771.438240463
OWEG,2023-02-17 20:00:00+00:00,42.02571,-76.25543,17,-8488715.637822118,5164831.455714511
OWEG,2023-02-17 21:00:00+00:00,42.02571,-76.25543,22,-8488715.637822118,5164831.455714511
PENN,2023-02-17 20:00:00+00:00,42.65578,-76.98746,29,-8570204.844667517,5259723.958070485
PENN,2023-02-17 21:00:00+00:00,42.65578,-76.98746,32,-8570204.844667517,5259723.958070485
PISE,2023-02-17 20:00:00+00:00,43.46474,-74.50432,19,-8293782.964299108,5382979.680245353
PISE,2023-02-17 21:00:00+00:00,43.46474,-74.50432,25,-8293782.964299108,5382979.680245353
QUEE,2023-02-17 20:00:00+00:00,40.734335,-73.815856,22,-8217143.502389608,4973234.757236812
QUEE,2023-02-17 21:00:00+00:00,40.734335,-73.815856,28,-8217143.502389608,4973234.757236812
RAND,2023-02-17 20:00:00+00:00,42.14928,-78.90096,15,-8783214.690300446,5183367.159793632
RAND,2023-02-17 21:00:00+00:00,42.14928,-78.90096,19,-8783214.690300446,5183367.159793632
RAQU,2023-02-17 20:00:00+00:00,43.822752,-74.625091,11,-8307227.130521702,5438053.493838397
REDF,2023-02-17 20:00:00+00:00,43.62218,-75.87769,15,-8446665.813369866,5407158.623451996
REDF,2023-02-17 21:00:00+00:00,43.62218,-75.87769,17,-8446665.813369866,5407158.623451996
REDH,2023-02-17 20:00:00+00:00,42.00168,-73.88391,17,-8224719.239016053,5161231.103224316
REDH,2023-02-17 21:00:00+00:00,42.00168,-73.88391,25,-8224719.239016053,5161231.103224316
ROXB,2023-02-17 20:00:00+00:00,42.32964,-74.46746,27,-8289679.7278684685,5210486.5325799985
ROXB,2023-02-17 21:00:00+00:00,42.32964,-74.46746,26,-8289679.7278684685,5210486.5325799985
