Station,Time,Lat,Lon,1 Hour Precipitation,x,y
1M4,2023-02-17 01:00:00+00:00,34.2803,-87.6004,0.20,-9751631.921287082,4066501.853547923
1M4,2023-02-17 02:00:00+00:00,34.2803,-87.6004,0.06,-9751631.921287082,4066501.853547923
1M4,2023-02-17 03:00:00+00:00,34.2803,-87.6004,0.18,-9751631.921287082,4066501.853547923
1M4,2023-02-17 04:00:00+00:00,34.2803,-87.6004,0.03,-9751631.921287082,4066501.853547923
1M4,2023-02-17 05:00:00+00:00,34.2803,-87.6004,0.23,-9751631.921287082,4066501.853547923
1M4,2023-02-17 06:00:00+00:00,34.2803,-87.6004,0.01,-9751631.921287082,4066501.853547923
1M4,2023-02-17 07:00:00+00:00,34.2803,-87.6004,0.07,-9751631.921287082,4066501.853547923
1M4,2023-02-17 08:00:00+00:00,34.2803,-87.6004,0.01,-9751631.921287082,4066501.853547923
1M4,2023-02-17 09:00:00+00:00,34.2803,-87.6004,0.0001,-9751631.921287082,4066501.853547923
1M5,2023-02-16 22:00:00+00:00,36.5929,-86.4769,0.22,-9626564.47338084,4382513.192991729
1M5,2023-02-17 01:00:00+00:00,36.5929,-86.4769,0.02,-9626564.47338084,4382513.192991729
1M5,2023-02-17 05:00:00+00:00,36.5929,-86.4769,0.01,-9626564.47338084,4382513.192991729
1M5,2023-02-17 06:00:00+00:00,36.5929,-86.4769,0.01,-9626564.47338084,4382513.192991729
1P1,2023-02-17 14:00:00+00:00,43.7792,-71.7537,0.06,-7987585.346533314,5431336.213216897
1P1,2023-02-17 15:00:00+00:00,43.7792,-71.7537,0.06,-7987585.346533314,5431336.213216897
1R7,2023-02-16 22:00:00+00:00,31.6058,-90.4093,0.04,-10064317.23897631,3711676.2573327366
1R7,2023-02-17 01:00:00+00:00,31.6058,-90.4093,0.03,-10064317.23897631,3711676.2573327366
1R7,2023-02-17 02:00:00+00:00,31.6058,-90.4093,0.11,-10064317.23897631,3711676.2573327366
1R7,2023-02-17 04:00:00+00:00,31.6058,-90.4093,0.12,-10064317.23897631,3711676.2573327366
