,Station,OBS Time,Lat,Lon,Current WX,Temperature (F),Wind (mph),peak_wind_gust,Real Feel Temperature,1 Hour Precipitation,WX Code,ptype,color,Time,Max Gust (mph),id,category,description_id,geom,x,y
50,BTR,2023-02-16 22:32:00Z,30.5372,-91.1469,Rain with Thunderstorm,70.00,18.0,31.0,69.80,0.43,+TSRA BR,6.0,#169c2f,2023-02-16 23:00:00+00:00,31.0,,,,,-10146426.495385427,3572790.4861629624
51,BTR,2023-02-16 22:35:00Z,30.5372,-91.1469,Rain with Thunderstorm,69.10,15.0,31.0,69.10,0.47,TSRA BR,6.0,#169c2f,2023-02-16 23:00:00+00:00,31.0,,,,,-10146426.495385427,3572790.4861629624
52,BMG,2023-02-16 22:35:00Z,39.146,-86.6167,Rain,53.10,12.0,29.0,53.10,0.01,-RA BR,6.0,#169c2f,2023-02-16 23:00:00+00:00,29.0,,,,,-9642126.938193738,4742606.449260618
53,BTL,2023-02-16 22:38:00Z,42.3073,-85.2515,Freezing Rain,30.00,12.0,26.0,19.46,0.06,-FZRA BR,4.0,#e30bc6,2023-02-16 23:00:00+00:00,26.0,,,,,-9490153.569362761,5207123.224445659
54,MBS,2023-02-16 22:40:00Z,43.53,-84.08,-FZDZSN BR,25.00,20.0,28.0,9.84,0.04,-FZDZSN BR,0.0,#000000,2023-02-16 23:00:00+00:00,28.0,,,,,-9359742.785898441,5392994.363605281
55,BTL,2023-02-16 22:44:00Z,42.3073,-85.2515,Freezing Rain,30.00,13.0,26.0,19.01,0.09,FZRA BR,4.0,#e30bc6,2023-02-16 23:00:00+00:00,26.0,,,,,-9490153.569362761,5207123.224445659
56,MDW,2023-02-16 22:45:00Z,41.786,-87.7524,-FZDZSN BR,32.00,14.0,28.0,21.16,0.01,-FZDZSN BR,0.0,#000000,2023-02-16 23:00:00+00:00,28.0,,,,,-9768552.48388766,5128976.989777991
57,OTM,2023-02-16 22:50:00Z,41.1008,-92.4446,Snow and/or Graupel,24.80,19.0,29.0,9.92,0.0001,SN FZFG,1.0,#1f48cf,2023-02-16 23:00:00+00:00,29.0,,,,,-10290885.798587857,5027221.029140241
58,BTR,2023-02-16 22:51:00Z,30.5372,-91.1469,Rain with Thunderstorm,69.80,15.0,31.0,69.80,0.50,-TSRA BR,6.0,#169c2f,2023-02-16 23:00:00+00:00,31.0,,,,,-10146426.495385427,3572790.4861629624
59,BTL,2023-02-16 22:51:00Z,42.3073,-85.2515,Unknown Precip,30.20,10.0,26.0,20.71,0.10,UP BR,0.0,#707070,2023-02-16 23:00:00+00:00,26.0,,,,,-9490153.569362761,5207123.224445659
60,ORD,2023-02-16 22:51:00Z,41.9875,-87.9319,Snow and/or Graupel,30.90,16.0,30.0,18.98,0.0001,-SN BR,1.0,#1f48cf,2023-02-16 23:00:00+00:00,30.0,,,,,-9788534.332485052,5159107.1885415
61,UGN,2023-02-16 22:51:00Z,42.4222,-87.8679,Snow and/or Graupel,30.00,17.0,32.0,17.46,0.02,-SN FZFG,1.0,#1f48cf,2023-02-16 23:00:00+00:00,32.0,,,,,-9781409.885074284,5224434.272828981
62,PWK,2023-02-16 22:52:00Z,42.1208,-87.9047,Unknown Precip,32.00,13.0,26.0,21.57,0.01,UP BR,0.0,#707070,2023-02-16 23:00:00+00:00,26.0,,,,,-9785506.442335477,5179091.909185362
63,MKE,2023-02-16 22:52:00Z,42.9472,-87.8967,Snow and/or Graupel,30.00,20.0,37.0,16.48,0.0001,SN BLSN,1.0,#1f48cf,2023-02-16 23:00:00+00:00,37.0,,,,,-9784615.886409128,5303938.5985906385
64,BTR,2023-02-16 22:53:00Z,30.5372,-91.1469,Rain with Thunderstorm,69.10,13.0,31.0,69.10,0.50,VCTS -RA,6.0,#169c2f,2023-02-16 23:00:00+00:00,31.0,,,,,-10146426.495385427,3572790.4861629624
65,MBS,2023-02-16 22:53:00Z,43.53,-84.08,-FZDZSN BR,25.00,16.0,28.0,11.29,0.05,-FZDZSN BR,0.0,#000000,2023-02-16 23:00:00+00:00,28.0,,,,,-9359742.785898441,5392994.363605281
66,BTL,2023-02-16 22:53:00Z,42.3073,-85.2515,Unknown Precip,30.00,11.0,26.0,19.94,0.10,UP BR,0.0,#707070,2023-02-16 23:00:00+00:00,26.0,,,,,-9490153.569362761,5207123.224445659
67,PIL,2023-02-16 22:53:00Z,26.1597,-97.3378,Rain,62.10,19.0,34.0,62.10,0.0001,-RA,6.0,#169c2f,2023-02-16 23:00:00+00:00,34.0,,,,,-10835594.330937505,3018873.9547389904
68,STJ,2023-02-16 22:53:00Z,39.7719,-94.9097,Snow and/or Graupel,26.10,16.0,27.0,12.73,0.0001,-SN BR,1.0,#1f48cf,2023-02-16 23:00:00+00:00,27.0,,,,,-10565299.475342356,4832850.5631149
